top - 00:54:19 up  8:25,  2 users,  load average: 5.90, 4.74, 4.22
Tasks: 442 total,   1 running, 440 sleeping,   0 stopped,   1 zombie
%Cpu(s): 19.0 us,  5.8 sy,  0.0 ni, 73.0 id,  0.0 wa,  1.5 hi,  0.7 si,  0.0 st 
MiB Mem :  31867.4 total,   2200.2 free,  19525.3 used,  14626.9 buff/cache     
MiB Swap:  15933.5 total,  15933.4 free,      0.1 used.  12342.1 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1464 root      20   0   20320  12032   8936 S   0.0   0.0   0:00.48 /usr/li+
   1504 root      20   0  391312  13488  11208 S   0.0   0.0   0:00.08 /usr/bi+
   1505 root      20   0  372596  53200  21724 S   0.0   0.2   0:00.51 /usr/bi+
   1562 root      20   0  301892  38480   3232 S   0.0   0.1   0:00.00 /usr/bi+
   1599 root      20   0  556796  21560  18196 S   0.0   0.1   0:05.97 /usr/bi+
   1615 root      20   0   18132   5656   5312 S   0.0   0.0   0:00.06 /usr/li+
   1694 root      20   0  252668  11896   9348 S   0.0   0.0   0:00.02 /usr/bi+
   1696 root      20   0  282400   8388   7228 S   0.0   0.0   0:00.19 /usr/bi+
   1707 root      20   0  502248  41688  17624 S   0.0   0.1   0:03.61 /usr/bi+
   1809 root      20   0  501412  38900  16968 S   0.0   0.1   0:01.73 /usr/bi+
   1840 root      20   0  382676  25656  23024 S   0.0   0.1   0:00.02 /usr/bi+
   1844 root      20   0  306184   7612   6932 S   0.0   0.0   0:00.02 /usr/li+
   1847 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 [psimon]
   1960 root      10 -10       0      0      0 S   0.0   0.0   0:00.00 [krfcom+
   2085 root      20   0  306828  24868  22248 S   0.0   0.1   0:00.04 /usr/li+
   2091 freekbi+  20   0   24992  16404  11812 S   0.0   0.1   0:01.51 /usr/li+
   2094 freekbi+  20   0   16840   3332   1852 S   0.0   0.0   0:00.00 (sd-pam)
   2148 freekbi+  20   0    7424   4284   3976 S   0.0   0.0   0:00.17 /usr/bi+
   2155 freekbi+  20   0    8972   4488   4128 S   0.0   0.0   0:00.02 /usr/bi+
   2165 freekbi+  20   0    8284   6284   2864 S   0.0   0.0   0:03.60 dbus-br+
   2178 freekbi+  20   0 1076208 135852 113960 S   0.0   0.4   0:00.19 /usr/bi+
   2180 freekbi+  20   0  539760  48144  41924 S   0.0   0.1   0:00.08 /usr/bi+
   2317 freekbi+  20   0  382996  20292  18164 S   0.0   0.1   0:00.01 /usr/bi+
   2318 freekbi+  20   0  382128  10368   9048 S   0.0   0.0   0:01.05 /usr/li+
   2326 freekbi+   9 -11  942032  30636  23020 S   0.0   0.1   1:25.11 /usr/bi+
   2327 freekbi+   9 -11  435844  39136   9288 S   0.0   0.1   4:55.94 /usr/bi+
   2330 freekbi+  39  19  256.4g  29416  23988 S   0.0   0.1   0:00.22 /usr/li+
   2332 freekbi+  20   0  540120   9888   8800 S   0.0   0.0   0:00.00 /usr/li+
   2359 freekbi+  20   0 1254956  18896  13900 S   0.0   0.1   0:03.15 /usr/li+
   2373 freekbi+  20   0  531428   7216   6500 S   0.0   0.0   0:00.23 /usr/li+
   2382 freekbi+  20   0  904716   9612   8324 S   0.0   0.0   0:00.19 /usr/li+
   2392 root      20   0    2584   2056   1936 S   0.0   0.0   0:00.00 fusermo+
   2443 root      20   0       0      0      0 S   0.0   0.0   0:25.12 [nvidia+
   2460 freekbi+  20   0 1687884 206780 151468 S   0.0   0.6   0:03.63 /usr/bi+
   2472 freekbi+  20   0  547548 149412 108452 S   0.0   0.5   5:04.23 /usr/bi+
   2523 freekbi+  20   0  380692   7928   7252 S   0.0   0.0   0:00.02 /usr/li+
   2540 freekbi+  20   0    8972   4200   3908 S   0.0   0.0   0:00.00 /usr/bi+
   2542 freekbi+  20   0    5220   3228   2864 S   0.0   0.0   0:00.02 dbus-br+
   2551 freekbi+  20   0  844596  92768  78240 S   0.0   0.3   0:00.86 /usr/bi+
   2553 freekbi+  20   0 1948384 163864 137172 S   0.0   0.5   0:06.31 /usr/bi+
   2623 freekbi+  20   0 6114480 547224 250468 S   0.0   1.7   3:28.45 /usr/bi+
   2630 freekbi+  20   0  168432   7640   6988 S   0.0   0.0   0:00.00 /usr/li+
   2635 freekbi+  20   0  164080   6212   5600 S   0.0   0.0   0:00.07 /usr/li+
   2648 freekbi+  20   0  889176  46488  40012 S   0.0   0.1   0:02.65 /usr/li+
   2686 freekbi+  20   0   47684   8776   8108 S   0.0   0.0   0:00.00 /usr/li+
   2707 freekbi+  20   0    7848   4824   4428 S   0.0   0.0   0:00.00 /usr/bi+
   2710 freekbi+  20   0  460004  27756  24848 S   0.0   0.1   0:00.67 /usr/bi+
   2711 freekbi+  20   0  846888  94468  79944 S   0.0   0.3   0:00.90 /usr/bi+
   2712 freekbi+  20   0 1202244 130788 109148 S   0.0   0.4   0:00.19 /usr/li+
   2716 freekbi+  20   0  921544  58840  51276 S   0.0   0.2   0:10.17 /usr/li+
   2717 freekbi+  20   0 1927488 241976 169368 S   0.0   0.7   0:14.45 /usr/li+
   2718 freekbi+  20   0  459416  27076  24176 S   0.0   0.1   0:00.70 /usr/bi+
   2719 freekbi+  20   0    8688   5364   4416 S   0.0   0.0   0:00.00 /usr/bi+
   2867 freekbi+  20   0 1138172 138516 114384 S   0.0   0.4   0:52.51 /usr/bi+
   3025 freekbi+  20   0 1355348 142428 118280 S   0.0   0.4   0:03.17 /usr/bi+
   3026 freekbi+  20   0  232024   3804   3480 S   0.0   0.0   0:00.00 /usr/bi+
   3036 freekbi+  20   0  395100  26788  23844 S   0.0   0.1   0:00.23 /usr/bi+
   3043 freekbi+  20   0  715368  26816  20896 S   0.0   0.1   0:00.15 /usr/li+
   3050 freekbi+  20   0  541620   9068   8208 S   0.0   0.0   0:00.00 /usr/li+
   3060 freekbi+  20   0  232024   3764   3440 S   0.0   0.0   0:00.00 bash /u+
   3096 freekbi+  20   0  232548   3648   3376 S   0.0   0.0   0:00.00 findmnt+
   3097 freekbi+  20   0  232024   2084   1760 S   0.0   0.0   0:00.00 bash /u+
   3128 freekbi+  20   0  232288   4104   3600 S   0.0   0.0   0:00.01 bash /v+
   3153 freekbi+  20   0  248784   5220   4860 S   0.0   0.0   0:00.03 /var/ho+
   3272 freekbi+  20   0 1117712 425256 180668 S   0.0   1.3   8:46.77 /var/ho+
   3291 freekbi+  20   0    4692   1804   1648 S   0.0   0.0   0:00.46 /var/ho+
   3303 freekbi+  20   0  246408   4276   3980 S   0.0   0.0   0:00.00 /var/ho+
   3412 freekbi+  20   0  541500   5708   5164 S   0.0   0.0   0:00.14 steam-r+
   3525 freekbi+  20   0  251332   5128   4712 S   0.0   0.0   0:00.02 /usr/li+
   3549 freekbi+  20   0 3804404 397116 266836 S   0.0   1.2   2:48.78 ./steam+
   3553 freekbi+  20   0  419112  58524  46024 S   0.0   0.2   0:00.01 /var/ho+
   3558 freekbi+  20   0   32.7g  67020  54268 S   0.0   0.2   0:00.01 /var/ho+
